email,password,signupResponse,token,server,ownIp
"skywalker23@email.com","skywalker23abc123",true,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI1MzVjOTdmMy1jMTIwLTRkYjQtODkxYS1mMWNhNThiMmM5ZTYiLCJlbWFpbCI6InNreXdhbGtlcjIzQGVtYWlsLmNvbSIsImlhdCI6MTc2ODQ0NjY4NywiZXhwIjoxNzY4NDQ3NTg3fQ.wnDDkpX2I1DwsBKB0uvA03lA2xuAuNp-fBW2hiSCIXk","http://localhost:4002","15.87.230.178"
"skywalker23@email.com","skywalker23abc123",true,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI1MzVjOTdmMy1jMTIwLTRkYjQtODkxYS1mMWNhNThiMmM5ZTYiLCJlbWFpbCI6InNreXdhbGtlcjIzQGVtYWlsLmNvbSIsImlhdCI6MTc2ODQ0NjY4NywiZXhwIjoxNzY4NDQ3NTg3fQ.wnDDkpX2I1DwsBKB0uvA03lA2xuAuNp-fBW2hiSCIXk","http://localhost:4002","15.87.230.178"
"skywalker23@email.com","skywalker23abc123",true,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI1MzVjOTdmMy1jMTIwLTRkYjQtODkxYS1mMWNhNThiMmM5ZTYiLCJlbWFpbCI6InNreXdhbGtlcjIzQGVtYWlsLmNvbSIsImlhdCI6MTc2ODQ0NjY4NywiZXhwIjoxNzY4NDQ3NTg3fQ.wnDDkpX2I1DwsBKB0uvA03lA2xuAuNp-fBW2hiSCIXk","http://localhost:4002","15.87.230.178"
"skywalker23@email.com","skywalker23abc123",true,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI1MzVjOTdmMy1jMTIwLTRkYjQtODkxYS1mMWNhNThiMmM5ZTYiLCJlbWFpbCI6InNreXdhbGtlcjIzQGVtYWlsLmNvbSIsImlhdCI6MTc2ODQ0NjY4NywiZXhwIjoxNzY4NDQ3NTg3fQ.wnDDkpX2I1DwsBKB0uvA03lA2xuAuNp-fBW2hiSCIXk","http://localhost:4002","15.87.230.178"
"skywalker23@email.com","skywalker23abc123",true,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI1MzVjOTdmMy1jMTIwLTRkYjQtODkxYS1mMWNhNThiMmM5ZTYiLCJlbWFpbCI6InNreXdhbGtlcjIzQGVtYWlsLmNvbSIsImlhdCI6MTc2ODQ0NjY4NywiZXhwIjoxNzY4NDQ3NTg3fQ.wnDDkpX2I1DwsBKB0uvA03lA2xuAuNp-fBW2hiSCIXk","http://localhost:4002","15.87.230.178"
"skywalker23@email.com","skywalker23abc123",true,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI1MzVjOTdmMy1jMTIwLTRkYjQtODkxYS1mMWNhNThiMmM5ZTYiLCJlbWFpbCI6InNreXdhbGtlcjIzQGVtYWlsLmNvbSIsImlhdCI6MTc2ODQ0NjY4NywiZXhwIjoxNzY4NDQ3NTg3fQ.wnDDkpX2I1DwsBKB0uvA03lA2xuAuNp-fBW2hiSCIXk","http://localhost:4002","15.87.230.178"
"skywalker23@email.com","skywalker23abc123",true,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI1MzVjOTdmMy1jMTIwLTRkYjQtODkxYS1mMWNhNThiMmM5ZTYiLCJlbWFpbCI6InNreXdhbGtlcjIzQGVtYWlsLmNvbSIsImlhdCI6MTc2ODQ0NjY4NywiZXhwIjoxNzY4NDQ3NTg3fQ.wnDDkpX2I1DwsBKB0uvA03lA2xuAuNp-fBW2hiSCIXk","http://localhost:4002","15.87.230.178"
"skywalker23@email.com","skywalker23abc123",true,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI1MzVjOTdmMy1jMTIwLTRkYjQtODkxYS1mMWNhNThiMmM5ZTYiLCJlbWFpbCI6InNreXdhbGtlcjIzQGVtYWlsLmNvbSIsImlhdCI6MTc2ODQ0NjY4NywiZXhwIjoxNzY4NDQ3NTg3fQ.wnDDkpX2I1DwsBKB0uvA03lA2xuAuNp-fBW2hiSCIXk","http://localhost:4002","15.87.230.178"
"skywalker23@email.com","skywalker23abc123",true,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI1MzVjOTdmMy1jMTIwLTRkYjQtODkxYS1mMWNhNThiMmM5ZTYiLCJlbWFpbCI6InNreXdhbGtlcjIzQGVtYWlsLmNvbSIsImlhdCI6MTc2ODQ0NjY4NywiZXhwIjoxNzY4NDQ3NTg3fQ.wnDDkpX2I1DwsBKB0uvA03lA2xuAuNp-fBW2hiSCIXk","http://localhost:4002","15.87.230.178"
"skywalker23@email.com","skywalker23abc123",true,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiI1MzVjOTdmMy1jMTIwLTRkYjQtODkxYS1mMWNhNThiMmM5ZTYiLCJlbWFpbCI6InNreXdhbGtlcjIzQGVtYWlsLmNvbSIsImlhdCI6MTc2ODQ0NjY4NywiZXhwIjoxNzY4NDQ3NTg3fQ.wnDDkpX2I1DwsBKB0uvA03lA2xuAuNp-fBW2hiSCIXk","http://localhost:4002","15.87.230.178"
